user_ID,stimuli_ID,stimuli_file,rating_type,rating,timestamp
1,1,p01_GENERATOR2.webm,range_Appeal,2,2024-10-08 14:38:44 890930
1,1,p01_GENERATOR2.webm,range_Realism,2,2024-10-08 14:38:44 890930
1,1,p01_GENERATOR2.webm,range_Quality,2,2024-10-08 14:38:44 890930
1,1,p01_GENERATOR2.webm,range_prompt_matching,4,2024-10-08 14:38:44 890930
1,62,p13_GENERATOR3.mp4,range_Appeal,3,2024-10-08 14:39:38 995339
1,62,p13_GENERATOR3.mp4,range_Realism,4,2024-10-08 14:39:38 995339
1,62,p13_GENERATOR3.mp4,range_Quality,4,2024-10-08 14:39:38 995339
1,62,p13_GENERATOR3.mp4,range_prompt_matching,3,2024-10-08 14:39:38 995339
1,97,p20_GENERATOR3.mp4,range_Appeal,4,2024-10-08 14:40:55 258944
1,97,p20_GENERATOR3.mp4,range_Realism,3,2024-10-08 14:40:55 258944
1,97,p20_GENERATOR3.mp4,range_Quality,3,2024-10-08 14:40:55 258944
1,97,p20_GENERATOR3.mp4,range_prompt_matching,4,2024-10-08 14:40:55 258944
1,57,p12_GENERATOR3.mp4,range_Appeal,4,2024-10-08 14:41:37 123483
1,57,p12_GENERATOR3.mp4,range_Realism,2,2024-10-08 14:41:37 123483
1,57,p12_GENERATOR3.mp4,range_Quality,3,2024-10-08 14:41:37 123483
1,57,p12_GENERATOR3.mp4,range_prompt_matching,3,2024-10-08 14:41:37 123483
1,131,p27_GENERATOR2.webm,range_Appeal,4,2024-10-08 14:42:16 107953
1,131,p27_GENERATOR2.webm,range_Realism,2,2024-10-08 14:42:16 107953
1,131,p27_GENERATOR2.webm,range_Quality,2,2024-10-08 14:42:16 107953
1,131,p27_GENERATOR2.webm,range_prompt_matching,4,2024-10-08 14:42:16 107953
1,44,p09_GENERATOR5.mp4,range_Appeal,3,2024-10-08 14:43:46 701344
1,44,p09_GENERATOR5.mp4,range_Realism,2,2024-10-08 14:43:46 701344
1,44,p09_GENERATOR5.mp4,range_Quality,2,2024-10-08 14:43:46 701344
1,44,p09_GENERATOR5.mp4,range_prompt_matching,4,2024-10-08 14:43:46 701344
1,28,p06_GENERATOR4.webm,range_Appeal,2,2024-10-08 14:44:25 854757
1,28,p06_GENERATOR4.webm,range_Realism,3,2024-10-08 14:44:25 854757
1,28,p06_GENERATOR4.webm,range_Quality,2,2024-10-08 14:44:25 854757
1,28,p06_GENERATOR4.webm,range_prompt_matching,3,2024-10-08 14:44:25 854757
1,30,p07_GENERATOR1.mp4,range_Appeal,5,2024-10-08 14:45:23 893628
1,30,p07_GENERATOR1.mp4,range_Realism,4,2024-10-08 14:45:23 893628
1,30,p07_GENERATOR1.mp4,range_Quality,4,2024-10-08 14:45:23 893628
1,30,p07_GENERATOR1.mp4,range_prompt_matching,4,2024-10-08 14:45:23 893628
1,88,p18_GENERATOR4.webm,range_Appeal,3,2024-10-08 14:46:06 821684
1,88,p18_GENERATOR4.webm,range_Realism,2,2024-10-08 14:46:06 821684
1,88,p18_GENERATOR4.webm,range_Quality,2,2024-10-08 14:46:06 821684
1,88,p18_GENERATOR4.webm,range_prompt_matching,5,2024-10-08 14:46:06 821684
1,10,p03_GENERATOR1.mp4,range_Appeal,4,2024-10-08 14:46:41 975145
1,10,p03_GENERATOR1.mp4,range_Realism,4,2024-10-08 14:46:41 975145
1,10,p03_GENERATOR1.mp4,range_Quality,3,2024-10-08 14:46:41 975145
1,10,p03_GENERATOR1.mp4,range_prompt_matching,5,2024-10-08 14:46:41 975145
1,38,p08_GENERATOR4.webm,range_Appeal,3,2024-10-08 14:47:17 655503
1,38,p08_GENERATOR4.webm,range_Realism,2,2024-10-08 14:47:17 655503
1,38,p08_GENERATOR4.webm,range_Quality,2,2024-10-08 14:47:17 655503
1,38,p08_GENERATOR4.webm,range_prompt_matching,3,2024-10-08 14:47:17 655503
1,143,p29_GENERATOR4.webm,range_Appeal,3,2024-10-08 14:47:43 463094
1,143,p29_GENERATOR4.webm,range_Realism,1,2024-10-08 14:47:43 463094
1,143,p29_GENERATOR4.webm,range_Quality,1,2024-10-08 14:47:43 463094
1,143,p29_GENERATOR4.webm,range_prompt_matching,4,2024-10-08 14:47:43 463094
1,141,p29_GENERATOR2.webm,range_Appeal,2,2024-10-08 14:48:07 189013
1,141,p29_GENERATOR2.webm,range_Realism,1,2024-10-08 14:48:07 189013
1,141,p29_GENERATOR2.webm,range_Quality,1,2024-10-08 14:48:07 189013
1,141,p29_GENERATOR2.webm,range_prompt_matching,2,2024-10-08 14:48:07 189013
1,27,p06_GENERATOR3.mp4,range_Appeal,4,2024-10-08 14:48:44 576174
1,27,p06_GENERATOR3.mp4,range_Realism,2,2024-10-08 14:48:44 576174
1,27,p06_GENERATOR3.mp4,range_Quality,3,2024-10-08 14:48:44 576174
1,27,p06_GENERATOR3.mp4,range_prompt_matching,3,2024-10-08 14:48:44 576174
1,145,p30_GENERATOR1.mp4,range_Appeal,3,2024-10-08 14:49:10 844475
1,145,p30_GENERATOR1.mp4,range_Realism,3,2024-10-08 14:49:10 844475
1,145,p30_GENERATOR1.mp4,range_Quality,3,2024-10-08 14:49:10 844475
1,145,p30_GENERATOR1.mp4,range_prompt_matching,4,2024-10-08 14:49:10 844475
1,11,p03_GENERATOR2.webm,range_Appeal,3,2024-10-08 14:49:37 631910
1,11,p03_GENERATOR2.webm,range_Realism,2,2024-10-08 14:49:37 631910
1,11,p03_GENERATOR2.webm,range_Quality,2,2024-10-08 14:49:37 631910
1,11,p03_GENERATOR2.webm,range_prompt_matching,2,2024-10-08 14:49:37 631910
1,26,p06_GENERATOR2.webm,range_Appeal,3,2024-10-08 14:50:08 929156
1,26,p06_GENERATOR2.webm,range_Realism,2,2024-10-08 14:50:08 929156
1,26,p06_GENERATOR2.webm,range_Quality,2,2024-10-08 14:50:08 929156
1,26,p06_GENERATOR2.webm,range_prompt_matching,2,2024-10-08 14:50:08 929156
1,42,p09_GENERATOR3.mp4,range_Appeal,4,2024-10-08 14:50:32 199575
1,42,p09_GENERATOR3.mp4,range_Realism,2,2024-10-08 14:50:32 199575
1,42,p09_GENERATOR3.mp4,range_Quality,3,2024-10-08 14:50:32 199575
1,42,p09_GENERATOR3.mp4,range_prompt_matching,3,2024-10-08 14:50:32 199575
1,119,p24_GENERATOR5.mp4,range_Appeal,4,2024-10-08 14:51:02 240734
1,119,p24_GENERATOR5.mp4,range_Realism,3,2024-10-08 14:51:02 240734
1,119,p24_GENERATOR5.mp4,range_Quality,3,2024-10-08 14:51:02 240734
1,119,p24_GENERATOR5.mp4,range_prompt_matching,5,2024-10-08 14:51:02 240734
1,94,p19_GENERATOR5.mp4,range_Appeal,3,2024-10-08 14:51:39 040042
1,94,p19_GENERATOR5.mp4,range_Realism,2,2024-10-08 14:51:39 040042
